,Age
346,"Jon Ashton 2001-2017 · DF · Stevenage Borough, Oxford United, Grays Athletic, Rushden & Diamonds, Crawley Town, Braintree Town,"
347,"Nathan Ashton 2007-2010 · DF,MF · Wycombe Wanderers"
348,"Neil Ashton 2003-2017 · DF,MF · Wrexham, Shrewsbury Town, Southport, Barrow, Macclesfield Town"
349,"Luke Ashworth 2008-2016 · DF · Hyde, Leyton Orient, Rotherham United, Chester"
350,"Jake Askew 2018-2022 · GK · Wealdstone FC, Barnet"
351,Josh Askew 2018-2019 · DF
352,John Askey 2002-2003 · FW · Macclesfield Town
353,Lee Askham 2008-2009 · MF
354,Ben Askins 2014-2015 · MF
355,Stanley Asomugha 2018-2020 · MF · West Bromwich Albion U23
356,"Dylan Asonganyi 2018-2022 · FW · Maidenhead United, Milton Keynes Dons"
357,Stan Asonutha 2019-2020 · MF
358,Michael Aspin 2008-2009 · MF · Northwich Victoria
359,Ayoub Assal 2020-2023 · MF · AFC Wimbledon
360,Christian Assombalonga 2016-2017 · FW
361,Jeff Astle 1970 · FW
362,"Ryan Astles 2015-2019 · DF,MF · Northwich Victoria"
363,"John Aston Sr. 1950 · DF,FW"
364,Daniel Atherton 2017-2020 · GK
365,"Peter Atherton 1992-2008 · DF,MF · Sheffield Wednesday, Bradford City, Coventry City"
366,"Mark Atkins 1992-2003 · DF,MF · Blackburn Rovers, Shrewsbury Town"
367,"Ross Atkins 2009-2014 · GK · Burton Albion, Tamworth, Alfreton Town, Kidderminster Harriers"
368,"Chris Atkinson 2010-2016 · MF · Crewe Alexandra, Tranmere Rovers, Chesterfield, Darlington, Huddersfield Town, Crawley Town, Bradfor"
369,"Dalian Atkinson 1990-1995 · FW · Aston Villa, Real Sociedad"
370,Daniel Atkinson 2016-2017 · GK
371,David Atkinson 2014-2021 · DF · Carlisle United
372,Jack Atkinson 2017-2018 · GK
373,James Atkinson 2013-2017 · GK · Queen of the South
374,"Rob Atkinson 2003-2018 · DF · Grimsby Town, Accrington Stanley, Guiseley, Fleetwood Town, Barnsley, Halifax Town"
375,"Robert Atkinson 2017-2023 · DF · Bristol City, Oxford United, Eastleigh, Fulham U23, Braintree Town"
376,"Wes Atkinson 2014-2018 · DF · Notts County, Gateshead, Solihull Moors"
377,"Will Atkinson 2007-2022 · MF · Southend United, Mansfield Town, Bradford City, Rochdale, Plymouth Argyle, Port Vale, Hull City, Rot"
378,Bobby Attree 2021-2022 · DF
379,Jamie Attwell 2002-2003 · GK · Torquay United
380,"Ryan Auger 2013-2014 · DF,FW"
381,Joshua Austerfield 2019-2023 · MF · Harrogate Town FC
382,Aaron Austin 2021-2022 · MF
383,"Brandon Austin 2016-2022 · GK · Tottenham Hotspur U23, Orlando City"
384,"Charlie Austin 2009-2022 · FW · Queens Park Rangers, Burnley, Southampton, Swindon Town, West Bromwich Albion"
385,Connor Austin 2019-2020 · MF
386,"Dean Austin 1992-2003 · DF · Tottenham Hotspur, Crystal Palace"
387,"Neil Austin 2002-2018 · DF · Hartlepool United, Barnsley, Darlington"
388,"Ryan Austin 2006-2016 · DF · Burton Albion, Kidderminster Harriers"
389,"Sam Austin 2014-2023 · FW · Notts County, Kidderminster Harriers"
390,Will Avon 2018-2019 · DF
391,"Zach Awe 2020-2023 · DF · Arsenal FC U21, Arsenal U23"
392,Nick Awford 2012-2015 · MF · Portsmouth
393,Kojo Awotwi 2019-2020 · MF
394,Matt Axell 2019-2020 · MF
395,Rachael Axon 2015 · MF · Houston Dash
396,Freda Ayisi 2017-2018 · FW · Birmingham City
397,"Luke Ayling 2009-2022 · DF,MF · Leeds United, Yeovil Town, Bristol City"
398,"Lee Ayres 2002-2010 · DF · Forest Green Rovers, Kidderminster Harriers"
399,"Jonah Ayunga 2018-2023 · FW · St Mirren, Morecambe, Bristol Rovers, Sutton United, Havant & Water"
400,Waqas Azam 2017-2018 · DF
401,"Finn Azaz 2017-2023 · MF · Plymouth Argyle, West Bromwich Albion U23, Newport County, Cheltenham Town"
402,Aymen Azaze 2018-2022 · GK · Barnet
403,"Ade Azeez 2012-2020 · FW · AFC Wimbledon, Cambridge United, Partick Thistle, Dagenham & Redbridge, Newport County, Dover Athlet"
404,"Femi Azeez 2019-2022 · MF · Reading U23, Reading"
405,"Miguel Azeez 2019-2023 · MF · Arsenal FC U21, Arsenal U23, Portsmouth"
406,Yannich Aziakonou 2017-2018 · DF
407,David Aziaya 2022-2023 · GK · Norwich City FC U21
408,"Kwadwo Baah 2019-2023 · FW · Düsseldorf, Rochdale"
409,"Rinsola Babajide 2017-2022 · FW · Liverpool, Brighton & Hove Albion"
410,Francis Babalola 2016-2021 · MF
411,Temi Babalola 2020-2021 · FW
412,Goran Babic 2020-2021 · MF
413,"Fin Back 2021-2023 · MF · Carlisle United, Nottingham Forest FC U23, Nottingham Forest"
414,Danny Bacon 2002-2007 · FW · Mansfield Town
415,Declan Bacon 2018-2019 · FW
416,Morgan Bacon 2015-2018 · GK
417,"Sophie Baggaley 2017-2022 · GK · Bristol City, Birmingham City"
418,"Shabazz Baidoo 2005-2009 · FW · Queens Park Rangers, Lewes, Dagenham & Redbridge"
419,"Alex Bailey 2004-2008 · DF · Chesterfield, Halifax Town"
420,Charlie Bailey 2015-2016 · MF
421,Dennis Bailey 1992-1993 · FW · Queens Park Rangers
422,Fabian Bailey 2016-2017 · DF
423,Gary Bailey 1986 · GK
424,"James Bailey 2007-2019 · DF,MF · Derby County, Crewe Alexandra, Coventry City, Yeovil Town, Ottawa Fury, Barnsley, Carlisle United, P"
425,John Bailey 2002-2003 · MF
426,Joshua Bailey 2020-2021 · MF
427,"Mark Bailey 2002-2007 · DF · Lincoln City, Macclesfield Town"
428,"Mat Bailey 2004-2009 · DF,FW · Northwich Victoria, Weymouth, Scunthorpe United"
429,"Nicky Bailey 2005-2019 · MF · Middlesbrough, Sutton United, Barnet, Charlton Athletic, Southend United, Millwall"
430,"Odin Bailey 2017-2022 · MF · Forest Green Rovers, Livingston, Birmingham City"
431,"Owen Bailey 2017-2023 · DF,MF · Gateshead, Newcastle United U23"
432,Sam Bailey 2019-2020 · DF
433,"Stefan Bailey 2004-2010 · MF · Ebbsfleet United, Queens Park Rangers, Grays Athletic, Oxford United"
434,Rae Bailey-Allen 2016-2017
435,Darnelle Bailey-King 2015-2017 · FW
436,Khaellem Bailey-Nicholls 2016-2017 · FW
437,"James Baillie 2014-2017 · DF · Crewe Alexandra, Curzon Ashton FC"
438,"Eddie Baily 1950 · FW,MF"
439,Jack Bainbridge 2016-2020 · DF · Sunderland U23
440,"Leighton Baines 2002-2020 · DF · Everton, Wigan Athletic, England"
441,"Lewis Baines 2018-2023 · DF · Altrincham, Chorley FC"
442,"Rikki Bains 2006-2010 · DF · Tamworth, Gateshead, Darlington, Accrington Stanley"
443,Ian Baird 1992-1993 · FW · Heart of Midlothian
444,Ibrahim Bakare 2019-2020 · DF
445,"Michael Bakare 2011-2022 · FW,MF · Helsinki IFK, Welling United, Southport, Braintree Town, Macclesfield Town, Wrexham"
446,Adam Baker 2011-2012 · FW
447,"Alex Baker 2020-2023 · FW · Blackburn Rovers FC U21, Blackburn Rovers U23"
448,Ashley Baker 2013 · GK
449,Ava Baker 2021-2022 · FW
450,"Carl Baker 2006-2018 · MF · Coventry City, Milton Keynes Dons, Portsmouth, Stockport County, Morecambe, Southport"
451,Chris Baker 2014-2015 · MF
452,"Harry Baker 2008-2010 · MF · Leyton Orient, Grays Athletic"
453,Harry Baker 2021-2022 · DF
454,"Lewis Baker 2014-2023 · MF · Stoke City, Vitesse, Trabzonspor, Reading, Leeds United, Middlesbrough, Milton Keynes Dons, Chelsea"
455,"Matt Baker 2004-2007 · GK · Milton Keynes Dons, Wrexham, Rushden & Diamonds"
456,"Nathan Baker 2009-2022 · DF · Bristol City, Aston Villa, Lincoln City, Millwall"
457,Phillip Baker 2002-2003 · DF · Exeter City
458,"Richie Baker 2006-2016 · MF · Bury, Barrow, Tamworth, Oxford United"
459,Steve Baker 1998-1999 · DF
460,"Courtney Baker-Richardson 2013-2023 · FW · Crewe Alexandra, Newport County, Swansea City, Barnet, Swansea City U23, Accrington Stanley"
461,"Tyreeq Bakinson 2015-2023 · MF · Sheffield Wednesday, Bristol City, Newport County, Ipswich Town, Plymouth Argyle"
462,"James Balagizi 2021-2023 · MF · Crawley Town, Liverpool U23"
463,Sadik Balalarabe 2022 · FW · Birmingham Legion
464,"Conrad Balatoni 2010-2018 · DF · Partick Thistle, Ayr United, Kilmarnock, Torquay United, Falkirk"
465,"Ellery Balcombe 2016-2023 · GK · Crawley Town, Doncaster Rovers, Bromley, Boreham Wood"
466,"Ryan Baldacchino 2002-2008 · MF · Carlisle United, Gretna"
467,"Sam Baldock 2006-2022 · FW,MF · Milton Keynes Dons, Brighton & Hove Albion, Bristol City, Reading, West Ham United, Derby County, Ox"
468,"Simon Baldry 2002-2004 · MF · Notts County, Huddersfield Town"
469,"Aden Baldwin 2015-2023 · DF · Notts County, Milton Keynes Dons, Cheltenham Town, Eastleigh"
470,"Jack Baldwin 2011-2023 · DF,MF · Ross County, Peterborough United, Hartlepool United, Bristol Rovers, Sunderland, Salford City FC"
471,James Baldwin 2014 · DF
472,"Pat Baldwin 2002-2015 · DF · Colchester United, Exeter City, Southend United, Bristol Rovers"
473,"Adam Bale 2017-2020 · MF · Sunderland U23, Hartlepool United"
474,"Callum Ball 2009-2015 · FW · Derby County, St Mirren, Coventry City, Torquay United, Notts County"
475,"David Ball 2010-2022 · FW,MF · Fleetwood Town, Wellington Phoenix, Peterborough United, Bradford City, Rotherham United, Swindon To"
476,"Dominic Ball 2014-2022 · DF,MF · Queens Park Rangers, Aberdeen, Rangers, Rotherham United, Cambridge United, Peterborough United"
477,"Jimmy Ball 2015-2023 · FW,MF · Rochdale, Solihull Moors, Stevenage, Ebbsfleet United, Northwich Victoria"
478,Jordan Ball 2012-2014 · FW
479,Alan Ball Jr. 1966-1970 · MF · England
480,"Kevin Ball 1996-2002 · DF,MF · Sunderland, Burnley"
481,"Michael Ball 1996-2009 · DF · Everton, Rangers, Manchester City, PSV Eindhoven"
482,Cameron Ballantyne 2020-2023 · MF · St Johnstone
483,Andy Ballard 2015-2016 · DF
484,"Dominic Ballard 2021-2023 · FW · Southampton FC U21, Southampton, Southampton U23"
485,Jacob Ballinger 2020-2021 · DF
486,"Folarin Balogun 2017-2023 · FW · Reims, Arsenal U23, Middlesbrough, Arsenal"
487,Jamal Balogun 2017-2020 · DF · Reading U23
488,Youssef Bamba 2019-2020 · FW
489,"Patrick Bamford 2011-2023 · FW,MF · Leeds United, England, Middlesbrough, Milton Keynes Dons, Derby County, Crystal Palace, Norwich City"
490,"Dave Bampton 2002-2007 · MF · Tamworth, Swindon Town"
491,Debbie Bampton 1995 · MF · England
492,Libby Bance 2019-2022 · MF · Brighton & Hove Albion
493,Jacob Bancroft 2018-2021 · MF
494,Ewan Bange 2019-2021 · MF
495,Nicky Banger 1992-1995 · FW · Southampton
496,"Jody Banim 2007-2009 · FW · Droylsden, Burton Albion, Torquay United, Altrincham"
497,Divin Baningime 2020-2022 · FW
498,David Banjo 2018-2019 · DF
499,Angela Banks 2001 · FW · England
500,Gordon Banks 1962-1970 · GK · England
501,Lewis Banks 2017-2018 · DF · Stoke City U23
502,"Ollie Banks 2010-2023 · MF · Chesterfield, Tranmere Rovers, Barrow, Oldham Athletic, Swindon Town, Northampton Town"
503,"Steve Banks 2001-2014 · GK · Gillingham, Heart of Midlothian, Wimbledon, Stoke City, St Johnstone"
504,Steve Banks 2014-2015 · GK
505,Tommy Banks 1958 · DF · England
506,Charlie Bannister 2017-2018 · GK
507,Gary Bannister 1992-1993 · FW · Nottingham Forest
508,Stephanie Bannon 2017 · DF · Sunderland
509,Sam Bantick 2017-2018 · FW
510,"Jason Banton 2011-2018 · MF · Plymouth Argyle, Woking, Crawley Town, Milton Keynes Dons, Notts County, Wycombe Wanderers, Hartlepo"
511,Zane Banton 2013-2022 · FW · Luton Town
512,"Charles Banya 2013-2015 · MF · Woking, Crawley Town"
513,"Will Bapaga 2019-2022 · MF · Grimsby Town, Coventry City"
514,"Alex Baptiste 2002-2022 · DF · Mansfield Town, Blackpool, Bolton Wanderers, Queens Park Rangers, Blackburn Rovers, Preston North En"
515,"Jamal Baptiste 2019-2023 · DF · West Ham United FC U21, West Ham United U23"
516,Miguel Baptiste 2016-2017
517,"Ian Baraclough 2002-2008 · DF,MF · Scunthorpe United, Notts County"
518,Jayden Barber 2021-2022 · DF · Aston Villa U23
519,Jonathan Barber 2014-2015 · GK
520,"Andy Barcham 2007-2019 · FW,MF · AFC Wimbledon, Gillingham, Scunthorpe United, Portsmouth, Leyton Orient"
521,"Ben Barclay 2017-2023 · DF,MF · Carlisle United, Accrington Stanley, Yeovil Town, Brighton & Hove Albion U23, Stockport County, Nott"
522,Harry Barclay 2021-2022 · DF
523,Max Bardell 2020-2022 · DF · Derby County U23
524,"Jonathan Barden 2017-2023 · DF,MF · Sutton United, Ottawa Fury, Saint Louis FC"
525,David Bardsley 1992-1996 · DF · Queens Park Rangers
526,"Karen Bardsley 2009-2021 · GK · England, Manchester City, OL Reign, Great Britain"
527,"Jack Barham 2018-2023 · FW · Maidstone United, Barnet, Bromley"
528,"Brandon Barker 2015-2022 · FW,MF · Hibernian, Rangers, NAC Breda, Preston North End, Oxford United, Reading, Rotherham United"
529,Charley Barker 2016-2019 · MF
530,"Charlie Barker 2020-2022 · DF · Charlton Athletic, Wealdstone FC"
531,"Chris Barker 2001-2016 · DF · Cardiff City, Southend United, Aldershot Town, Plymouth Argyle, Barnsley, Colchester United, Queens"
532,"George Barker 2012-2015 · FW · Swindon Town, Tranmere Rovers, Brighton & Hove Albion"
533,Katie Barker 2017-2018 · MF
534,"Keith Barker 2006-2008 · FW · Rochdale, Northwich Victoria"
535,Kyle Barker 2019-2022 · MF · Peterborough United
536,Maisey Barker 2020-2021 · DF · West Ham United
537,"Richie Barker 2001-2009 · FW · Rotherham United, Mansfield Town, Hartlepool United"
538,"Shaun Barker 2002-2018 · DF · Blackpool, Rotherham United, Derby County, Burton Albion"
539,Simon Barker 1992-1996 · MF · Queens Park Rangers
540,Sophie Barker 2021-2022 · MF · Leicester City WFC
541,Dylan Barkers 2018-2023 · DF · Cheltenham Town
542,"Tom Barkhuizen 2011-2023 · FW,MF · Preston North End, Derby County, Morecambe, Hereford United, Blackpool, Fleetwood Town"
543,"Ross Barkley 2011-2022 · MF · Everton, Chelsea, England, Aston Villa, Sheffield Wednesday, Leeds United"
544,Ellis Barkworth 2017-2018 · MF
545,"Aidan Barlow 2016-2022 · MF · Doncaster Rovers, Manchester United U23, Tromsø"
546,Hayden Barlow 2020-2021 · MF
547,Matty Barlow 2003-2007 · FW · Oldham Athletic
548,"Stuart Barlow 1992-2007 · FW · Everton, Stockport County, Tranmere Rovers, Bury"
549,"Jack Barmby 2013-2020 · FW,MF · San Antonio FC, Portland Timbers 2, Portland Timbers, Hartlepool United, Phoenix Rising, Notts Count"
550,"Nick Barmby 1992-2012 · FW,MF · Hull City, Everton, Tottenham Hotspur, Liverpool, Middlesbrough, Leeds United, Nottingham Forest"
551,"Donny Barnard 2002-2008 · DF,MF · Leyton Orient, Grays Athletic"
552,"Lee Barnard 2002-2018 · FW · Southend United, Southampton, Braintree Town, Crawley Town, Bournemouth, Oldham Athletic, Crewe Alex"
553,Aaron Barnes 2016-2019 · DF · Torquay United
554,"Ashley Barnes 2007-2023 · FW · Burnley, Brighton & Hove Albion, Plymouth Argyle, Eastbourne Borough, Torquay United, Salisbury City"
555,Ben Barnes 2020-2021 · GK
556,Bradley Barnes 2015-2016 · MF
557,Brandon Barnes 2018-2019 · FW · Richmond Kickers
558,Corey Barnes 2008-2010 · MF · Darlington
559,David Barnes 1992-1994 · DF · Sheffield United
560,Finlay Barnes 2017-2019 · MF
561,"Harvey Barnes 2016-2023 · FW,MF · Leicester City, West Bromwich Albion, Barnsley, Milton Keynes Dons, Leicester City U23"
562,"John Barnes 1986-1999 · DF,FW · Liverpool, Newcastle United, Charlton Athletic, England"
563,Joshua Barnes 2021-2022 · MF · Nottingham Forest FC U23
564,"Joshua Barnes 2016-2023 · GK · Derby County FC U21, Derby County U23"
565,"Marcus Barnes 2016-2021 · FW · Southampton U23, Eastleigh, Yeovil Town, Oldham Athletic"
566,Michael Barnes 2007-2015 · MF · Chesterfield
567,Mikell Barnes 2021-2022 · MF
568,Ollie Barnes 2014-2015 · DF
569,Paul Barnes 2003-2004 · FW · Doncaster Rovers
570,"Phil Barnes 2002-2013 · GK · Grimsby Town, Blackpool, Alfreton Town, Torquay United"
571,Sam Barnes 2009-2010 · DF
572,"Samuel Barnes 2017-2023 · DF · Blackburn Rovers, Blackburn Rovers U23"
573,"Matthew Barnes-Homer 2004-2018 · FW · Kidderminster Harriers, Luton Town, Macclesfield Town, Wilmington Hammerheads, Forest Green Rovers,"
574,"Anthony Barness 1992-2009 · DF · Bolton Wanderers, Lewes, Plymouth Argyle, Chelsea, Grays Athletic, Charlton Athletic"
575,"Charlie Barnett 2008-2015 · MF · Accrington Stanley, Tranmere Rovers, Telford United"
576,Gary Barnett 1996-1997 · MF
577,"Jordan Barnett 2020-2022 · DF,MF · Yeovil Town, Oldham Athletic, Notts County"
578,"Leon Barnett 2005-2019 · DF · Wigan Athletic, Luton Town, Norwich City, West Bromwich Albion, Bury, Northampton Town, Coventry Cit"
579,Moses Barnett 2009-2010 · DF · Darlington
580,"Ryan Barnett 2016-2023 · MF · Solihull Moors, Shrewsbury Town"
581,"Tyrone Barnett 2010-2022 · FW · Eastleigh, Peterborough United, Macclesfield Town, Shrewsbury Town, AFC Wimbledon, Cheltenham Town,"
582,Shomari Barnwell 2016-2021 · FW
583,Jamie Barnwell-Edinboro 1995-1996 · FW
584,Amanda Barr 2005 · FW · England
585,Lachlan Barr 2017-2022 · DF · Adelaide United
586,"Tony Barras 2001-2006 · DF · Walsall, Notts County, Macclesfield Town, Plymouth Argyle"
587,Matt Barrass 2002-2005 · DF · Bury
588,"Sam Barratt 2015-2023 · FW,MF · Maidenhead United, Southend United"
589,"Adam Barrett 2002-2017 · DF · Southend United, Bristol Rovers, Gillingham, AFC Wimbledon, Bournemouth, Leyton Orient, Crystal Pala"
590,Connor Barrett 2020-2021 · DF · Burnley FC U23
591,"Earl Barrett 1992-1999 · DF · Aston Villa, Everton, Sheffield Wednesday"
592,Jack Barrett 2019-2023 · GK · Everton FC U21
593,Jake Barrett 2017-2018 · DF
594,"Mason Barrett 2018-2023 · DF · Wealdstone FC, West Ham United U23"
595,"Neil Barrett 2001-2013 · MF · Ebbsfleet United, York City, Dundee, Portsmouth, Livingston, Woking"
596,"Paul Barrett 2002-2009 · MF · Wrexham, Northwich Victoria"
597,Scott Barrett 2002-2003 · GK · Leyton Orient
598,James Barrigan 2016-2021 · FW · Marine FC
599,Luca Barrington 2021-2023 · FW · Brighton & Hove Albion FC U21
600,Michael Barron 1995-2007 · DF · Hartlepool United
601,"Scott Barron 2005-2014 · DF,MF · Millwall, Ipswich Town, Brentford, Wrexham"
602,Carl Barrowclough 2002-2003 · MF · Barnsley
603,Ross Barrows 2016-2022 · DF · King's Lynn Town FC
604,"Anthony Barry 2005-2017 · MF · Yeovil Town, Fleetwood Town, Chester City, Forest Green Rovers, Wrexham, Accrington Stanley"
605,"Bradley Barry 2015-2022 · DF,MF · Barrow, Swindon Town, Chesterfield, Stevenage, Dover Athletic"
606,"Gareth Barry 1997-2020 · MF · Aston Villa, Everton, Manchester City, West Bromwich Albion, England"
607,Keira Barry 2021-2022 · FW
608,"Louie Barry 2018-2023 · FW · Milton Keynes Dons, Aston Villa U23, Swindon Town, Ipswich Town"
609,"Chris Bart-Williams 1992-2004 · DF,MF · Sheffield Wednesday, Nottingham Forest, Charlton Athletic, Ipswich Town"
610,"Jack Barthram 2013-2019 · DF · Cheltenham Town, Barrow, Swindon Town"
611,"Adam Bartlett 2008-2019 · GK · Gateshead, Hereford United, Kidderminster Harriers, Hartlepool United"
612,Neal Bartlett 1992-1994 · MF · Southampton
613,Tyrique Bartlett 2017-2019 · FW · Newcastle United U23
614,Casey Bartlett-Scott 2021 · DF
615,"Kyle Bartley 2009-2023 · DF · West Bromwich Albion, Leeds United, Sheffield United, Swansea City, Rangers, Birmingham City"
616,"Marvin Bartley 2007-2022 · MF · Bournemouth, Hibernian, Burnley, Livingston, Leyton Orient"
617,"Joey Barton 2002-2017 · MF · Manchester City, Queens Park Rangers, Newcastle United, Burnley, Marseille, Rangers"
618,Kirsty Barton 2018-2021 · DF · Brighton & Hove Albion
619,"Warren Barton 1992-2004 · DF · Newcastle United, Wimbledon, Derby County, Queens Park Rangers"
620,"Vince Bartram 1994-2004 · GK · Gillingham, Arsenal"
621,"Molly Bartrip 2017-2022 · DF · Reading, Tottenham Hotspur LFC"
622,"Terry Barwick 2002-2007 · MF · Scunthorpe United, Northwich Victoria, Grimsby Town"
623,Aaron Basford 2018-2019 · FW
624,"Chris Basham 2006-2023 · DF,MF · Sheffield United, Blackpool, Bolton Wanderers, Rochdale, Stafford Rangers"
